Names,h0,h1,h2,h3,image
Card,"black,white,red",made of paper,poker,you write these to people on their birthdays,card.jpg
Butterfly,"black,blue",Everyones favorite insect,___ effect,Its not a moth its a,blue_butterfly.jpg
Blueberries,"blue,green",Fruit,Multicolored,The color is in the name of this fruit!,blueberries.jpg
Hard Boiled Egg,"white,yellow",Food,Type of shell,Is it the chicken or the ___,egg.jpg
Leaf,(orange),Crunchy,Autumn,Rake em together and jump in em,leaf.jpg
Orange Slice,(orange),Piece of a fruit,No knife needed for this,Vitamin C,o_slice.jpg
Cabbage,(purple),Normally green,Good in a salad,___ patch kid,cabbage.jgp
Wine,(red),Beverage,Not for kids,Its not beer its ___,wine.jpg
Strawberry,(red),Fruit,Really good on poundcake,___ Shortcake,strawberry.jpg
Tomato,(red),Fruit (debated vegetable),Good on burgers,Ketchup is made from ___,tomato.jpg
